stage,feed,T_K,Y_CH4_min,X_COx_min,Y_Csolid_min,Y_CH4_max,X_COx_max,Y_Csolid_max,trace_F,F_k_meth,F_Ea_meth,F_k_carb,F_Ea_carb,F_k_crack,F_Ea_crack,F_n,X_CO2_min,X_CO2_max,F_k1_ref,F_Ea1,F_k2_ref,F_Ea2
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",850.0,-0.012559980849279919,0.03890157383079029,0.043115030414342136,-0.0037430710268962367,0.1301110066948049,0.1426709875440881,463.5414870658529,0.06261893479387376,1.1868113322347462,18.285074791382367,418.5185293752032,0.5129783961774997,24.816001794330404,0.15947244173084518,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",600.0,9.03496318514371e-05,9.034963185361455e-05,0.0,0.03990526742529181,0.0399052674252921,0.0,24.324680455683584,3.4038983807180245,8.092977947554772,0.5562840123898514,1.6014816290704033,0.28163579246019593,1.7174077375486225,8.670994955941714,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",625.0,0.00024103229763123985,0.0002410322976329482,0.0,0.0669967854312707,0.06699678543127008,0.0,33.99017743706439,5.931751884710885,3.2494645273837177,3.3152195858336757,2.196873013878924,1.742797080394293,2.4448364357453873,15.10923490911751,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",650.0,0.0006136861170404281,0.0006136861170404906,0.0,0.09188173836795034,0.09188808501780787,6.346649857395022e-06,28.780446630852442,7.140990928565392,0.0,4.336047112517325,0.0,1.4685387518706383,0.0,15.834869837899085,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",675.0,0.0015159787031025415,0.0015159787031016059,0.0,0.11313455495342245,0.11719723536426951,0.004062680410848474,33.69326934819422,4.779237523306515,2.3226693481557192,7.088987172106197,4.115718065759924,1.5931743655939195,1.8938289251036058,11.899653948168336,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",700.0,0.003721186264237858,0.0037211862642375637,0.0,0.11977848524331866,0.14422832545496056,0.024449840211641413,138.57718751145597,3.8717729063209814,6.639371287698402,15.44454135056922,32.845631604977385,12.403018273634432,57.71236296565447,9.660489122601096,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",725.0,0.0063504588705409985,0.0063516962778200625,1.2374072791277858e-06,0.11330387176919123,0.1782710952704285,0.06496722350123844,427.6544583745262,1.802061038114298,6.51903292463785,64.02397315760147,279.2479939555927,8.371430421667005,63.32667735655731,4.363289520355568,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",750.0,0.012764960376962859,0.012764960376963952,0.0,0.10856724891409662,0.22672094634249496,0.13666755532923444,1109.6023236184415,0.7549384174394659,5.173401066694144,111.01455327290954,845.2158182948472,6.847203424296358,138.48302721977842,2.1133819224761554,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",775.0,0.02388223482946809,0.024458549295709564,0.0005763144662415482,0.10124380678867463,0.3028999423293063,0.252466144349832,3009.5379971828243,0.43120346938059106,3.9330254650973737,234.41390377441604,2522.920511884226,10.34949864205337,236.56939373078075,0.9204602168702238,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",800.0,0.016413635542461162,0.04138778562766521,0.010200935648033028,0.09337944036597408,0.3888524657216792,0.3724388301792167,5188.133463408423,0.23942027091926593,2.881654910491564,317.60644244841666,4621.153153535993,7.74814914078836,238.15266508883568,0.3519780129801266,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",825.0,0.014687317151113358,0.06551530495317637,0.030856265943172007,0.07194768983864765,0.4172705886632414,0.4024634466582471,5733.310836865583,0.41229040269739925,6.349738087244803,279.7232607110358,5207.724102445721,5.913314883868733,232.34333611154653,0.8447942234685896,,,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",850.0,0.0031907050933337147,0.09671635383319355,0.06517898978647634,0.04326893593650216,0.39211016728026704,0.36262606127678176,5110.119404132329,0.14519944120758757,2.7558275407314827,207.69589022628233,4754.604724659506,2.933307202320881,141.78452177104106,0.1999332912392024,,,,,,
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",850.0,0.020240299411903386,,,0.06501129988701042,,,240.701737408073,,,,,,,,0.1354891671762506,0.42864362419485647,84.90242432323087,120.54053082477428,10.95528086133076,24.30350139873709
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",875.0,0.028269095426718766,,,0.07123275702232829,,,184.51947026975188,,,,,,,,0.17536626225918506,0.4494860488042456,90.53790679341898,68.23565898194589,11.823221019963416,13.922683474423572
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",900.0,0.037611648874887674,,,0.061178054605109444,,,134.48266896501386,,,,,,,,0.21989005374794068,0.46804565673456167,91.93465020858946,29.10894863191389,8.991077070909085,4.447993053601438
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",925.0,0.03171407574490841,,,0.0555831044529598,,,106.65004985949045,,,,,,,,0.26661386977844936,0.4937209157919189,92.62872834697185,6.941325591218935,6.337901294333101,0.7420946269665514
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",950.0,0.0025827013556555247,,,0.05280045056785546,,,99.76672253731701,,,,,,,,0.3109853460559071,0.5249816561509233,95.93421157683335,0.0,3.832510960483656,0.0
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",975.0,-0.012843074936203298,,,0.04670457539701526,,,107.7525943538117,,,,,,,,0.3466788885932257,0.5503849872507602,100.1146445116604,6.752662885744068,0.800874990099848,0.08441196630738239
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",1000.0,-0.020224869588496553,,,0.02445779461133824,,,129.05836527827856,,,,,,,,0.37458873899965683,0.5698775440355307,102.02002892577524,26.1648552269415,0.6235687395131545,0.24991238604866736
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",1025.0,-0.023940428220541866,,,-0.002051575574933851,,,168.50264048318638,,,,,,,,0.40796852267215156,0.5867225743993785,108.39693723009529,59.53581093685442,0.3066986063357209,0.26319370990096985
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)",1050.0,-0.025808378897294936,,,-0.018556878614686727,,,224.902473765556,,,,,,,,0.45325409732741495,0.6019385585055459,116.48472934488969,108.38290386727624,0.014197275487623706,0.020643277902466704
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",850.0,0.00029958329450576837,,,0.002143895480752255,,,10.711203665189544,,,,,,,,0.03541005464348945,0.09098559292417396,4.402469481021857,6.250357728409519,0.018136244389426057,0.04024021136874137
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",875.0,0.00044619416001488173,,,0.0029963785962765395,,,9.44647298682872,,,,,,,,0.04558995117028397,0.10196994746758403,5.340005756048504,4.0246063368591845,0.03759214161421818,0.0442687523068143
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",900.0,0.000642941859872447,,,0.003927783783310593,,,8.267946981097117,,,,,,,,0.05736242742721687,0.11277367306461661,6.202433110828951,1.9638567305155004,0.068013167175767,0.0336439725768988
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",925.0,0.0008917283310458458,,,0.00450920688346476,,,7.609059232441552,,,,,,,,0.07061154119877944,0.12374972375049242,6.980813393808164,0.5231222309615,0.0941066130348027,0.011016994637085073
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",950.0,0.0011692623510697379,,,0.003428109051873342,,,7.761939049276033,,,,,,,,0.08511893523671188,0.1360622717915978,7.699566546992412,0.0,0.062372502283621005,0.0
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",975.0,-0.0022301785357408156,,,0.0013686817806817704,,,8.997136335170454,,,,,,,,0.10055537086676114,0.15259364462410563,8.39906145867316,0.5665099380835705,0.028555941883676172,0.0030089965300490193
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",1000.0,-0.015332757216279984,,,0.0011382524629382819,,,12.13304574613551,,,,,,,,0.11647324349825072,0.17699849158682934,9.161903142776357,2.3497658383094375,0.44361064494943625,0.17776612010027967
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",1025.0,-0.030572298803326122,,,-0.00046402154493242715,,,16.767973231376068,,,,,,,,0.13235898289112324,0.20552072407106903,10.133573532284737,5.565714260863137,0.5751345060013155,0.49355093222687885
S2,"S2 kinetic-loop inlet (X4, H2/CO2 0.87)",1050.0,-0.037075022094042294,,,-0.005286878016672815,,,24.304205011244317,,,,,,,,0.14803331786228358,0.22529054014345562,11.710104670723881,10.89554391816459,0.6922289668178498,1.0063274555379957
