case_id,chain,value_type,stage1_basis,tau1_s,V1_ratio_vs_3s,X_CH4_stage1,approach_stage1,CH4_into_stage2_kmol_d,H2_into_stage2_kmol_d,phi_k2_definition,k2_uncalibrated_mol_m3_s,phi_effective_at_inlet,tau2_s,X_CO2_stage2,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,stage2_character,X_CO2_stage2_gibbs_ref_same_feed,xi2_gibbs_ref_same_feed_kmol_d,Q2_gibbs_ref_same_feed_kW,stage2_character_at_equilibrium,CO_out_stage2_kmol_d,CH4_out_stage2_kmol_d,T3_K,tau3_s,C_stage1_tpd,C_stage3_tpd,C_total_tpd,CFR_share_of_carbon,water_recovered_stage2_tpd,H2O_out_stage3_tpd,H2_membrane_permeate_tpd,H2_out_stage3_tpd,H2_surplus_total_tpd,CH4_out_stage3_tpd,CO_out_stage3_tpd,CO2_out_stage3_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,closure_max_per_stage_rel
kin_tau1-taustar_phi-1_T3-650,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,1.0,12.451962043106056,0.862396574921683,3.0,0.7226041769581657,501.48203015878704,188.13544427241942,methanation (xi2>0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),501.48203015878704,568.4771764408451,650.0,3.0,31.36813632383979,0.0,31.36813632383979,0.0,15.022082888923514,0.8484895741227482,6.839254026519982,3.6657019265826745,10.504955953102659,9.161854433470666,13.990590378922835,11.623890447617786,2727.9745106713017,-207.3046218580034,-6.3307712762281625,2514.3391175370703,-3.4570073692667354e-16,2.514528569829598e-16,2.3824971625193333e-16,2.268016943702247e-15
kin_tau1-taustar_phi-1_T3-800,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,1.0,12.451962043106056,0.862396574921683,3.0,0.7226041769581657,501.48203015878704,188.13544427241942,methanation (xi2>0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),501.48203015878704,568.4771764408451,800.0,3.0,31.36813632383979,0.14856928159022606,31.51670560543002,0.004713985130623204,15.022082888923514,4.259633521070396,6.839254026519982,2.6696399044415036,9.508893930961488,11.60623151958348,10.065917600801344,10.54053493322969,2727.9745106713017,-207.3046218580034,-407.32471995835266,2113.3451688549458,-9.218686318044627e-16,-8.800849994403594e-16,-7.147491487558e-16,1.2159186250452572e-15
kin_tau1-10s_phi-0_T3-650,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,0.0,0.0,0.0,3.0,0.7074407881036495,675.1462905395099,0.0,reforming (xi2<0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),675.1462905395099,318.4144493731735,650.0,3.0,32.11194491749357,0.0,32.11194491749357,0.0,11.554622402865807,0.692549455451637,7.7601141471651935,4.153702699352501,11.913816846517696,5.169495281334235,18.82848645247161,12.249084643865395,2792.660881049119,275.6029111092253,-9.277820421123858,3058.98597173722,-1.0371022107800206e-15,1.257264284914799e-16,-4.764994325038667e-16,1.8234543643306256e-15
kin_tau1-10s_phi-0_T3-800,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,0.0,0.0,0.0,3.0,0.7074407881036495,675.1462905395099,0.0,reforming (xi2<0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),675.1462905395099,318.4144493731735,800.0,3.0,32.11194491749357,0.0008549581774040889,32.112799875670966,2.6623594975030973e-05,11.554622402865807,5.299687120946318,7.7601141471651935,2.732104243291323,10.492218390456518,8.774509690387696,13.399521772990662,10.886640746681978,2792.660881049119,275.6029111092253,-574.4456476528877,2493.8181445054565,-9.218686318044627e-16,-6.286321424573996e-16,-2.3824971625193333e-16,1.0639287969146e-15
kin_tau1-10s_phi-0.1_T3-650,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,0.1,1.2451962043106057,0.08914709655530746,3.0,0.7211124235029167,638.853370777101,49.34044837631035,methanation (xi2>0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),638.853370777101,367.75489774948386,650.0,3.0,32.11194491749357,0.0,32.11194491749357,0.0,12.622345838070546,0.7422643287264272,7.5490494950125795,4.041902571309774,11.590952066322354,5.9565886435229,17.817472534132786,11.678431671731326,2792.660881049119,152.73236768844708,-8.606571801815386,2936.7866769357506,-1.1523357897555784e-15,-2.0116228558636785e-15,-5.956242906298333e-16,1.6306830416022319e-15
kin_tau1-10s_phi-0.1_T3-800,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,0.1,1.2451962043106057,0.08914709655530746,3.0,0.7211124235029167,638.853370777101,49.34044837631035,methanation (xi2>0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),638.853370777101,367.75489774948386,800.0,3.0,32.11194491749357,0.004925034819409134,32.116869952312975,0.0001533472852965376,12.622345838070546,5.0724860957826206,7.5490494950125795,2.7058674860000766,10.254916981012656,9.344455102712919,12.697223127866236,10.411702902241961,2792.660881049119,152.73236768844708,-540.3995941293431,2404.9936546082226,-1.0371022107800206e-15,-3.771792854744397e-16,-1.3103734393856332e-15,2.6090928665635707e-15
kin_tau1-10s_phi-1_T3-650,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,1.0,12.451962043106056,0.8914709655530745,3.0,0.7322552739166313,493.6187744834115,205.2092267094913,methanation (xi2>0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),493.6187744834115,523.6236760826648,650.0,3.0,32.11194491749357,0.0,32.11194491749357,0.0,15.471919127628569,0.8736762728058617,6.922363121484631,3.710092567027082,10.632455688511714,8.443030924627255,13.77003208117134,11.216940987761559,2792.660881049119,-247.9059956761106,-6.434861195535306,2538.320024177473,-1.6132701056578099e-15,-3.771792854744397e-16,-1.9059977300154666e-15,2.3823159437994854e-15
kin_tau1-10s_phi-1_T3-800,kinetic,kinetic,kinetic tau1=10.00 s,10.0,3.3333333333333335,0.8935766039313788,0.9213876708271959,318.4144493731735,6597.089321037976,1.0,12.451962043106056,0.8914709655530745,3.0,0.7322552739166313,493.6187744834115,205.2092267094913,methanation (xi2>0),0.8046556174534807,69.48885762636166,132.91453393266607,methanation (xi2>0),493.6187744834115,523.6236760826648,800.0,3.0,32.11194491749357,0.04373937262010903,32.155684290113676,0.0013602376558211446,15.471919127628569,4.317253613473633,6.922363121484631,2.672915443789029,9.59527856527366,11.036560106405927,9.863900940418137,10.079403356686363,2792.660881049119,-247.9059956761106,-417.1340095241324,2127.6208758488756,-9.218686318044627e-16,3.771792854744397e-16,0.0,2.78286974028439e-15
kin_tau1-30s_phi-0_T3-650,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,0.0,0.0,0.0,3.0,0.7208647735254361,687.9574743363471,0.0,reforming (xi2<0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),687.9574743363471,93.58132503198898,650.0,3.0,34.81241557395545,0.0,34.81241557395545,0.0,11.773876205160828,0.7216104455929113,8.332569024191175,4.457371531034448,12.789940555225622,1.572903726982049,19.17823286411599,11.671020628966945,3027.511145712279,280.8325918445555,-10.778159391568147,3297.5655781652663,-2.7656058954133883e-15,-3.3946135692699576e-15,-9.529988650077333e-16,3.4957660470051143e-15
kin_tau1-30s_phi-0_T3-800,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,0.0,0.0,0.0,3.0,0.7208647735254361,687.9574743363471,0.0,reforming (xi2<0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),687.9574743363471,93.58132503198898,800.0,3.0,34.81241557395545,0.0,34.81241557395545,0.0,11.773876205160828,5.952892552243501,8.332569024191175,2.8655087611970367,11.19807778538821,5.577474547290183,13.328487875580969,9.876775460380621,3027.511145712279,280.8325918445555,-635.7546965550871,2672.5890410017473,-2.996073053364504e-15,-2.891707855304038e-15,-1.9059977300154666e-15,3.4957660470051143e-15
kin_tau1-30s_phi-0.1_T3-650,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,0.1,1.2451962043106057,0.09984298532302276,3.0,0.7384691025325558,644.2751841793321,60.48298588514025,methanation (xi2>0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),644.2751841793321,154.06431091712923,650.0,3.0,34.81241557395545,0.0,34.81241557395545,0.0,13.096528453210652,0.7819964794459807,8.072782678397378,4.320061360568952,12.392844038966329,2.5370960038348533,17.961772273193088,10.937347177393455,3027.511145712279,130.543516800251,-9.866222203211255,3148.1884403093186,-2.7656058954133883e-15,-3.771792854744397e-15,-3.573745743779e-16,3.4957660470051143e-15
kin_tau1-30s_phi-0.1_T3-800,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,0.1,1.2451962043106057,0.09984298532302276,3.0,0.7384691025325558,644.2751841793321,60.48298588514025,methanation (xi2>0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),644.2751841793321,154.06431091712923,800.0,3.0,34.81241557395545,0.0010814167721027884,34.81349699072755,3.1063146928067e-05,13.096528453210652,5.605753871583281,8.072782678397378,2.850907266583582,10.92368994498096,6.234876631446374,12.544627903012321,9.301026205038687,3027.511145712279,130.543516800251,-587.3005271271583,2570.7541353853717,-2.7656058954133883e-15,-2.891707855304038e-15,-1.1912485812596666e-16,3.4957660470051143e-15
kin_tau1-30s_phi-1_T3-650,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,1.0,12.451962043106056,0.9984298532302275,3.0,0.7691244541358748,460.93598982594193,273.0781225989426,methanation (xi2>0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),460.93598982594193,366.6594476309316,650.0,3.0,34.81241557395545,0.0,34.81241557395545,0.0,17.235628283256535,0.9715556165297528,7.1986916900789835,3.857722069222088,11.056413759301071,5.927230773752551,12.854143013046933,9.662612980157581,3027.511145712279,-409.880044705955,-6.751668530548944,2610.8794324757746,-2.304671579511157e-15,-3.143160712286998e-15,7.147491487558e-16,3.4957660470051143e-15
kin_tau1-30s_phi-1_T3-800,kinetic,kinetic,kinetic tau1=30.00 s,30.0,10.0,0.9687223917189959,0.9988722447042266,93.58132503198898,7046.755569720332,1.0,12.451962043106056,0.9984298532302275,3.0,0.7691244541358748,460.93598982594193,273.0781225989426,methanation (xi2>0),0.8135376910545725,195.69618172154907,-191.53138858973043,methanation (xi2>0),460.93598982594193,366.6594476309316,800.0,3.0,34.81241557395545,0.0,34.81241557395545,0.0,17.235628283256535,4.438310347619913,7.1986916900789835,2.814366570478669,10.013058260557653,8.535023062667909,9.138246551727752,8.347317920214664,3027.511145712279,-409.880044705955,-412.3123619564706,2205.318739049853,-2.189438000535599e-15,-2.891707855304038e-15,5.956242906298333e-16,3.4957660470051143e-15
eq_FeedA_T3-650,equilibrium,equilibrium,Gibbs 1200 K,,,0.9698161069695571,1.0,90.30897372444424,7053.281028408566,,,,,0.8137181690916715,578.9535359728807,197.61443469758933,methanation (xi2>0),0.8137181690916715,197.61443469758933,-196.44502096811826,methanation (xi2>0),578.9535359728807,287.92340842203356,650.0,,34.85150348488499,1.4760297024500493,36.32753318733504,0.04063115694749791,16.672539243459454,13.617270173731253,7.448124749836012,0.4922240195079947,7.9403487693440065,12.945530758859485,0.06531660851563235,4.9510683321498075,3030.936066508513,-196.44502096811826,-1478.505597373587,1355.9854481668076,-4.563388890877011e-06,-2.660235611564717e-06,-2.1442474462674e-15,1.2406246217764207e-14
eq_FeedA_T3-800,equilibrium,equilibrium,Gibbs 1200 K,,,0.9698161069695571,1.0,90.30897372444424,7053.281028408566,,,,,0.8137181690916715,578.9535359728807,197.61443469758933,methanation (xi2>0),0.8137181690916715,197.61443469758933,-196.44502096811826,methanation (xi2>0),578.9535359728807,287.92340842203356,800.0,,34.85150348488499,3.4754593682329644,38.326962853117955,0.09067922709013274,16.672539243459454,10.749264007969614,7.448124749836012,1.9248155689676456,9.372940318803657,8.522362963553373,1.7255901427121605,7.149904774372008,3030.936066508513,-196.44502096811826,-1073.2745654477023,1761.2164800926923,-4.563388890877011e-06,-2.6602356108103583e-06,-4.050245176282866e-15,1.2406246217764207e-14
