case,config,y_CH4_biogas,h_H2_to_CFR,dTmin_K,CO2_carbon_fixed_fraction,C_total_tpd,Q_H_min_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,boundary,power_source,aux_power_kW,H2_for_aux_tpd,H2_net_final_tpd,self_sufficient,bottoming_heat_source_650K_kW,bottoming_power_eta0.20_kW,aux_residual_eta0.20_kW,H2_net_final_with_bottoming_eta0.20_tpd,bottoming_power_eta0.25_kW,aux_residual_eta0.25_kW,H2_net_final_with_bottoming_eta0.25_tpd
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,30.0,0.883728046473538,61.88607401501757,4697.1876865457025,3.347766374270134,3.9803864302343355,-0.6326200559642015,excl. upgrading (submitted boundary),H2 engine 0.40,1863.2277161371344,3.355151949826772,-3.9877720057909736,False,3872.257188987023,774.4514377974047,1088.7762783397297,-2.5932015895891647,968.0642972467557,895.1634188903787,-2.244558985538713
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,30.0,0.883728046473538,61.88607401501757,4697.1876865457025,3.347766374270134,3.9803864302343355,-0.6326200559642015,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3133.3370246432514,4.513810839822211,-5.146430895786413,False,3872.257188987023,774.4514377974047,2358.885586845847,-4.030774562824965,968.0642972467557,2165.2727273964956,-3.7518604795846033
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,30.0,0.883728046473538,61.88607401501757,4697.1876865457025,3.347766374270134,3.9803864302343355,-0.6326200559642015,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3133.3370246432514,5.642263549777763,-6.274883605741964,False,3872.257188987023,774.4514377974047,2358.885586845847,-4.880313189540156,968.0642972467557,2165.2727273964956,-4.531670585489703
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,20.0,0.9625301138167858,64.23430197116903,4566.022448908663,2.550625060225989,3.8692372987009365,-1.3186122384749477,excl. upgrading (submitted boundary),fuel cell 0.50,1010.2344032510924,1.4553196685489926,-2.7739319070239405,False,4074.208496623253,814.8416993246506,195.39270392644187,-1.6000903233629793,1018.5521241558132,0.0,-1.3186122384749477
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,20.0,0.9625301138167858,64.23430197116903,4566.022448908663,2.550625060225989,3.8692372987009365,-1.3186122384749477,excl. upgrading (submitted boundary),H2 engine 0.40,1010.2344032510924,1.8191495856862407,-3.1377618241611884,False,4074.208496623253,814.8416993246506,195.39270392644187,-1.670459844584987,1018.5521241558132,0.0,-1.3186122384749477
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,20.0,0.9625301138167858,64.23430197116903,4566.022448908663,2.550625060225989,3.8692372987009365,-1.3186122384749477,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2280.34371175721,3.2850089485097858,-4.603621186984734,False,4074.208496623253,814.8416993246506,1465.5020124325592,-3.4297796033237726,1018.5521241558132,1261.7915876013967,-3.1363192074085324
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,20.0,0.9625301138167858,64.23430197116903,4566.022448908663,2.550625060225989,3.8692372987009365,-1.3186122384749477,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2280.34371175721,4.106261185637233,-5.42487342411218,False,4074.208496623253,814.8416993246506,1465.5020124325592,-3.9575714445359784,1018.5521241558132,1261.7915876013967,-3.5907459496419287
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,30.0,0.9625301138167858,64.23430197116903,4622.553778896001,2.550625060225989,3.9171418223820362,-1.3665167621560474,excl. upgrading (submitted boundary),fuel cell 0.50,1010.2344032510924,1.4553196685489926,-2.82183643070504,False,4074.208496623253,814.8416993246506,195.39270392644187,-1.647994847044079,1018.5521241558132,0.0,-1.3665167621560474
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,30.0,0.9625301138167858,64.23430197116903,4622.553778896001,2.550625060225989,3.9171418223820362,-1.3665167621560474,excl. upgrading (submitted boundary),H2 engine 0.40,1010.2344032510924,1.8191495856862407,-3.185666347842288,False,4074.208496623253,814.8416993246506,195.39270392644187,-1.7183643682660867,1018.5521241558132,0.0,-1.3665167621560474
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,30.0,0.9625301138167858,64.23430197116903,4622.553778896001,2.550625060225989,3.9171418223820362,-1.3665167621560474,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2280.34371175721,3.2850089485097858,-4.651525710665833,False,4074.208496623253,814.8416993246506,1465.5020124325592,-3.4776841270048724,1018.5521241558132,1261.7915876013967,-3.184223731089632
