case,config,h_H2_to_CFR,item,name,kW,basis,source
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),859.7663011426025,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1074.707876428253,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),1934.4741775708555,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",488.8871308534316,"feed 8,046 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",174.7374199262557,"permeate 2,806 kmol/d",assumption 0.25 bar permeate
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),174.7374199262557,B2,
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),401.8850438672571,"feed 1,721 kmol/d = 38,581 Nm3/d","assumption, same sources as A"
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,103.05597118795512,,T3 compression model
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,D_recycle_blower,"recycle blower, dP 0.3 bar",19.21228205426552,"1,669 kmol/d","assumption dP, eta 0.70"
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",52.926406325619425,"4,603 kmol/d",assumption
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,E_condenser_fans,"air-cooled condensers, 1.5 % of 4,312 kW duty",64.68159536386408,"latent 1,485 + sensible 2,827 kW",assumption 1-2 % of duty
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,F_solids_handling,"solid carbon handling, 10.0 kWh/t",22.870141360165622,54.9 t/d,assumption 5-20 kWh/t
2b_y0.65 eq recycle h=0.5,2b_y0.65,0.5,G_other,other (5 % of B-F),36.81564444487137,,assumption
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),859.7663011426025,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1074.707876428253,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),1934.4741775708555,"raw biogas 103,172 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",744.7440489863721,"feed 12,236 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",160.50867071206625,"permeate 2,577 kmol/d",assumption 0.25 bar permeate
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),160.50867071206625,B2,
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),1268.973078890934,"feed 5,435 kmol/d = 121,821 Nm3/d","assumption, same sources as A"
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,328.75129820523955,,T3 compression model
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,D_recycle_blower,"recycle blower, dP 0.3 bar",60.670996921044775,"5,251 kmol/d","assumption dP, eta 0.70"
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",52.926406325619425,"4,603 kmol/d",assumption
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,E_condenser_fans,"air-cooled condensers, 1.5 % of 5,716 kW duty",85.74329556292973,"latent 1,514 + sensible 4,202 kW",assumption 1-2 % of duty
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,F_solids_handling,"solid carbon handling, 10.0 kWh/t",23.013009845801466,55.2 t/d,assumption 5-20 kWh/t
2b_y0.65 eq recycle h=0.75,2b_y0.65,0.75,G_other,other (5 % of B-F),82.5917729129198,,assumption
submitted eq recycle h=0.35,submitted,0.35,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),931.4134929044861,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
submitted eq recycle h=0.35,submitted,0.35,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1164.2668661306077,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
submitted eq recycle h=0.35,submitted,0.35,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2095.6803590350937,"raw biogas 111,770 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
submitted eq recycle h=0.35,submitted,0.35,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",568.7204494398535,"feed 9,341 kmol/d",T3 compression model; assumption 4 bar feed
submitted eq recycle h=0.35,submitted,0.35,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",329.5957076701064,"permeate 5,292 kmol/d",assumption 0.25 bar permeate
submitted eq recycle h=0.35,submitted,0.35,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),329.5957076701064,B2,
submitted eq recycle h=0.35,submitted,0.35,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),411.8940777188752,"feed 1,764 kmol/d = 39,542 Nm3/d","assumption, same sources as A"
submitted eq recycle h=0.35,submitted,0.35,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,106.02697625177898,,T3 compression model
submitted eq recycle h=0.35,submitted,0.35,D_recycle_blower,"recycle blower, dP 0.3 bar",19.938061304163988,"1,730 kmol/d","assumption dP, eta 0.70"
submitted eq recycle h=0.35,submitted,0.35,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",45.38149493456762,"3,946 kmol/d",assumption
submitted eq recycle h=0.35,submitted,0.35,E_condenser_fans,"air-cooled condensers, 1.5 % of 3,703 kW duty",55.55115190940781,"latent 897 + sensible 2,807 kW",assumption 1-2 % of duty
submitted eq recycle h=0.35,submitted,0.35,F_solids_handling,"solid carbon handling, 10.0 kWh/t",19.731986260652068,47.4 t/d,assumption 5-20 kWh/t
submitted eq recycle h=0.35,submitted,0.35,G_other,other (5 % of B-F),44.10462398988866,,assumption
