T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,wall_s
625.0,10.0,1.01325,0.004801080144087436,0.004801080144089642,3.820536994014771e-22,0.0011771294730529742,-0.000871212142080106,0.003940736766409837,-0.0032082527562778303,-0.0003404172414699959,0.0004031446881153436,0.0,0.0011771294729345794,-0.0008712121420922925,0.003940736766405717,-0.003208252756262131,-0.0003404172414983586,0.00040314468792435054,0.0,9.551342485036927e-21,0.0,0.0,0.0,-9.551342485036927e-21,-9.551342485036927e-21,0.0,2.897599935531616
625.0,10.0,5.0,0.2310850571609955,0.23108505716099703,0.0,0.07497001957071439,-0.05548856649412112,0.021143100977208396,-0.01721312915098222,-0.008570916013394408,0.01015024118482255,0.11964155457274722,0.07497001957074423,-0.055488566494099605,0.021143100977183416,-0.017213129151061324,-0.008570916013525554,0.010150241184783693,0.11964155457276804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8884308338165283
650.0,1.0,1.01325,0.0011354554717183918,0.0011354554717177834,9.551342485036928e-23,0.0002650865888150335,0.0,0.0009762148651125499,0.0,-0.00010705438826366697,0.0,0.0,0.00026508658888535486,0.0,0.0009762148652614488,0.0,-0.00010705438828473302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0139272212982178
650.0,1.0,5.0,0.10635522523843695,0.10635522523843444,0.0,0.06780311605475986,0.0,0.011079200364024974,0.0,-0.007443178199860803,0.0,0.10820585179365863,0.0678031160547099,0.0,0.011079200364058628,0.0,-0.007443178199903477,0.0,0.10820585179371678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976404905319214
650.0,3.0,1.01325,0.0033984663706656585,0.003398466370661213,0.0,0.0007900842666390255,0.0,0.0029166630978378553,0.0,-0.00031977801701602764,0.0,0.0,0.0007900842665831131,0.0,0.0029166630977545127,0.0,-0.0003197780170965947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9435231685638428
650.0,3.0,5.0,0.19681118444597878,0.19681118444597745,0.0,0.07920566121377773,0.0,0.020282948677031315,0.0,-0.010721625703148663,0.0,0.12639219181370925,0.0792056612138714,0.0,0.02028294867692515,0.0,-0.0107216257031445,0.0,0.12639219181369232,0.0,0.0,0.0,0.0,3.820536994014771e-20,0.0,0.0,2.9304370880126953
650.0,10.0,1.01325,0.01123690751935638,0.011236907519357242,0.0,0.0025744542409995245,0.0,0.009583963408577034,0.0,-0.0010499757888139585,0.0,0.0,0.002574454240916735,0.0,0.009583963408524299,0.0,-0.0010499757888110528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9095299243927
650.0,10.0,5.0,0.3027582903027446,0.3027582903027476,0.0,0.059156113053922266,0.0,0.040527143652348274,0.0,-0.013386279777502508,0.0,0.09441814513804492,0.059156113053923653,0.0,0.04052714365237742,0.0,-0.013386279777546917,0.0,0.09441814513802549,-7.641073988029541e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.981628894805908
675.0,1.0,1.01325,0.002531941638823692,0.0025319416388227545,0.0,0.0005593526900797541,0.00038331803259210404,0.0022818119408492613,0.0017200393917393155,-0.0003153872320097871,-0.00034583071888644266,0.0,0.0005593526900687928,0.0003833180325651941,0.0022818119407991277,0.0017200393917865542,-0.0003153872321109974,-0.00034583071891469697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.916457176208496
675.0,1.0,5.0,0.16713272109366933,0.16713272109366728,0.0,0.07958460218029303,0.05454102461100244,0.020647418283845087,0.015564131688994285,-0.01307776554156509,-0.014340109267571566,0.1269932482742414,0.07958460218038532,0.05454102461098509,0.02064741828389227,0.015564131688947103,-0.013077765541616437,-0.014340109267529932,0.12699324827426528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9579360485076904
