parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack
"P3 (k_meth, Ea_meth, n)",4,625/650/700/725,24,12.582308731612184,413.9614415583533,0.6161666127628025,0.07060035503334232,0.3851555467406024,,,,
"P3 (k_meth, Ea_meth, n)",4,600/650/675/725,24,12.576628956759947,462.6875907719496,0.6673400416482042,0.06460637361810649,0.41783823185828584,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/750/850,24,12.574087800642488,354.95631268798775,0.6070137122814644,0.14862435207273306,0.29638396248537185,,,,
"P3 (k_meth, Ea_meth, n)",4,625/675/700/725,24,12.543774135454065,409.8289972751126,0.6042409789959649,0.07225818140224934,0.3768051493666448,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/800/850,24,12.537696420449247,683.5797977747632,0.7753238340331879,0.1924717939135302,0.3754515907824212,,,,
"P3 (k_meth, Ea_meth, n)",4,675/775/800/825,24,12.50964845129252,542.7208971682065,0.6868225907389848,0.18219648359758364,0.345021378386705,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/775/850,24,12.503313019373227,425.1902614312524,0.6613172952734404,0.16543286399998464,0.32107597387819314,,,,
"P3 (k_meth, Ea_meth, n)",4,625/800/825/850,24,12.495749555229532,919.2156398292547,0.7666027330732823,0.1901409651871169,0.5622482687372822,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/825/850,24,12.485137642471557,981.7154035451882,0.8364248875687929,0.20016771969540872,0.658403539934321,,,,
"P3 (k_meth, Ea_meth, n)",4,600/800/825/850,24,12.478828019747464,816.9556445096157,0.6620314185234785,0.16317322654303165,0.562382971943189,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/650/725,24,12.44952702661758,516.4892660299038,0.6890203289597017,0.06678281272946714,0.4324456324360862,,,,
"P3 (k_meth, Ea_meth, n)",4,675/775/800/850,24,12.440496771465735,494.52328334834726,0.6808823795625993,0.1747933153770733,0.3464589157666686,,,,
"P3 (k_meth, Ea_meth, n)",4,675/725/750/775,24,12.43139483135095,140.87316524739768,0.42883532982118594,0.13023408783600102,0.20430007143178502,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/825/850,24,12.350109289098937,951.7944669775281,0.8931934619473367,0.21721099044357842,0.43496247415777384,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/800/825,24,12.338533530822708,637.6410962415472,0.7365353037638853,0.19570521179512002,0.28123662518625786,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/700/750,24,12.31479805972498,265.53911532417834,0.49644766301157145,0.11181525570836494,0.2928176190769763,,,,
"P3 (k_meth, Ea_meth, n)",4,675/775/825/850,24,12.298880518065076,654.0710011413946,0.7580077401563046,0.1909099071048005,0.3888282627493906,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/800/850,24,12.281991887473938,574.006345782851,0.7211606255452091,0.18434542632461745,0.28425646292393564,,,,
"P3 (k_meth, Ea_meth, n)",4,650/800/825/850,24,12.276431020482486,1107.099416299449,0.8888434629675304,0.22162569882702737,0.5529684170319075,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/750/825,24,12.263203174641458,385.71573236330534,0.6299736661370144,0.17338866851771734,0.2385132058573857,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/725/775,24,12.256011798841268,227.61852840636868,0.48334640967918174,0.143634870082876,0.23139935903001893,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/675/725,24,12.23771507586358,508.5168469378566,0.6675637961312351,0.07996459139314023,0.4174471932812708,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/825/850,24,12.229759789425977,701.3490128910632,0.7764498151285523,0.19357684090948868,0.30944626565987227,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/775/825,24,12.211073730903692,447.6814219189832,0.671579124647772,0.1845793983130717,0.2532803169676003,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/750/775,24,12.168988375067793,226.31368685092463,0.5116725157667023,0.15604758391177162,0.24105034628849842,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/750/850,24,12.131167551303829,349.7800722236148,0.6205862927879355,0.1613882362949256,0.24772853660045546,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/775/850,24,12.125683503029343,394.9957794426968,0.653264936103324,0.17104874025859523,0.257833592339389,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/750/800,24,12.118515326177246,354.6585950156138,0.6201830291947031,0.18007846467317037,0.22759468670700012,,,,
