stage,feed,parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/725/800/850,24,21.989065205146403,86183.11548008892,2.4625016625125498,0.349470619349643,1.5312367469243289,0.3128355003738267,0.07364857553310027,0.89688383504764,0.16269329085113962,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/750/825/850,24,21.98823150783352,117491.42385849262,2.69370147642014,0.27630146523222815,1.7691681605848208,0.2702157495675606,0.06276548837133324,0.9986163464459893,0.17228221529287677,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/700/725/800,24,21.983873912272607,61823.28096320728,2.8897358920052527,0.2697981897458724,1.7659559005436105,0.4468937947996824,0.11560778205096582,0.6521357033359608,0.15017497774376895,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/750/775/825,24,21.97849061022986,81919.99136746631,2.4636884878735232,0.30671395457588035,1.6949708394028724,0.24896601058738954,0.06634192150718987,0.9673562255314986,0.18957585086720466,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/700/725/800,24,21.95843245659818,61746.620293001106,2.8850245543358275,0.2239869488097215,1.7658271367574754,0.4494148448311622,0.11624978041606454,0.6610386664359481,0.15261306710073616,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/750/800/825,24,21.94944060799562,130984.68362034252,2.970933631539848,0.5327348171774215,1.6549712950607864,0.2728917639788885,0.06957779359471016,0.5410598355404631,0.11442409948052036,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/750/775/850,24,21.929636258616014,77337.94628380648,2.4739548612571647,0.34588640890273886,1.6886040464841414,0.20807823929962727,0.052974190241276496,0.9214494118459537,0.18242143411125925,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/750/800/850,24,21.92525743714409,103722.91566612887,2.5929779626042864,0.3088483780945817,1.7043706246105599,0.24467342329383027,0.059990779362933046,0.98696894783206,0.17931207865604498,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/750/800/825,24,21.925140350863607,107658.91387770079,2.575435289732325,0.27783096686849496,1.7010514691429226,0.2992132964352216,0.07641182590964442,1.0462692344212436,0.1902990843956329,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,675/700/750/825,24,21.922423821960237,82013.44745198174,3.0377596091392056,0.42949071259932076,1.8483916888496819,0.2675150628966323,0.06658137691146022,0.5150102769639524,0.11690328310599682,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/725/800/825,24,21.895286246806776,88853.07892719064,2.4366342319674037,0.3110255578328205,1.5164494723055366,0.412009670011161,0.10152151880285129,1.0448240839744927,0.18602970568573632,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/725/750/825,24,21.891942383252974,59056.23573744745,2.5946495504374476,0.5606995561705961,1.449756716261504,0.2541146974865038,0.06331414571257937,0.47918808229973875,0.11205113603718717,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/725/750/800,24,21.884068335743923,53239.19466671563,2.4966194269135085,0.28037751957461726,1.5131432384294423,0.33729534065642575,0.09316000813562147,0.7909042420420527,0.16102789920745347,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/700/725/850,24,21.868788726807217,49672.45136278551,2.5631802532848806,0.33973107168393757,1.64518155952468,0.36238955784698346,0.07681922433987785,0.5703242885524406,0.134938679470555,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/700/775/800,24,21.863048200418483,94485.11136743244,2.935639904098003,0.2817358294756259,1.8793920079776014,0.45516120445301106,0.12547246042556884,0.6463279162589798,0.14512011480061704,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/750/825/850,24,21.859702449622596,96249.40385104014,2.4017364380809822,0.310859914178346,1.651926272828839,0.26633070471645903,0.061871673282959824,1.032939018514467,0.17896583120291698,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/750/775/825,24,21.858030377290554,115833.12790262951,3.0871540496619563,0.5279168800785162,1.76424931502434,0.23666962403419137,0.0629380333155267,0.540531015627031,0.12193348935856622,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/700/750/800,24,21.832011840775046,58516.23218795284,2.5820564310828007,0.36000110216476633,1.764519772949613,0.3346465011459119,0.09292202393929651,0.5819843483536912,0.13533264519573845,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/675/750/825,24,21.83082088269323,84797.94376730241,3.0686020275334105,0.2812024182315511,1.9387062886049806,0.298532957734461,0.0744418579412241,0.7501213608006395,0.13652455383730588,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/725/800/825,24,21.809773596781397,106295.37533235812,2.6792585058416787,0.2297483047781517,1.636322337443325,0.43440145811877645,0.10686328934632486,1.0959346951053222,0.19425813124182906,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/700/775/800,24,21.78736209081795,96439.63791092276,2.965386683513253,0.23198396420807638,1.8949712472920957,0.4593851423040877,0.12665779691461196,0.6583968416554513,0.14809879923943378,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/725/800/825,24,21.784091309377217,124038.2701767018,3.0180797611545946,0.5985972977191787,1.5413541928180452,0.3640503457290263,0.08849713469306723,0.5773962866687025,0.12134291621452671,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/775/800/825,24,21.773449149573903,164334.99829627963,3.104488419768636,0.5547186500084534,1.6872608073614486,0.3071992468319499,0.0790347367416889,0.5668593815375451,0.12077305756171983,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/750/775/825,24,21.772140284586392,105518.03047890853,2.8371916863569036,0.22293961750461716,1.8461846839455924,0.2525410254488598,0.067373158995009,1.0083320665810545,0.19778075241058882,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,675/725/750/825,24,21.762525068904267,58979.98224645189,2.5385365660864636,0.40100326451728513,1.5247978683896115,0.27032859523585945,0.06758496587984951,0.6600628916196479,0.12860320881526408,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/750/775/850,24,21.760832416589697,99557.16946540454,2.8466648662585055,0.2470207762383793,1.8421601836520274,0.21002224287031,0.053506995924856623,0.9589220762410039,0.18995692520750374,,,,
