 T3_K  phi  h_H2_to_CFR  r_CH4  purge_p  converged  iterations       method  C_total_tpd  C_from_CO2_total_tpd  C_from_CO2_total_tpd_mixing_tracer_upper  fresh_CO2_carbon_fixed_fraction  purge_carbon_tpd  H2_net_exportable_tpd  water_total_tpd  Q1_kW  Q2_kW  Q3_kW  S1_inlet_CH4_ratio_vs_fresh  S2_inlet_ratio_vs_once  closure_C_rel
  550  NaN            1    0.9     0.02       True          93     wegstein        47.37                 11.44                                     11.44                           0.9977           0.02869                  10.73            34.38   4120  -1953 -131.9                        1.359                   33.47     -1.498e-15
  550  NaN            1    0.9     0.01       True         132     wegstein        47.38                 11.45                                     11.45                           0.9989           0.01436                  10.73            34.38   4121  -2020 -67.32                         1.36                   66.35       2.65e-15
  550  NaN            1   0.95      0.2       True          77       direct        47.26                 11.34                                     11.34                           0.9893            0.1347                  10.69             34.3   4110  -1172 -881.7                        1.356                   3.886      -2.65e-15
  550  NaN            1   0.95      0.1       True         148       direct        47.33                  11.4                                      11.4                           0.9946           0.06773                  10.71            34.36   4116  -1536 -532.8                        1.358                   7.174      2.881e-15
  550  NaN            1   0.95     0.05       True         289       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.38   4119  -1784 -294.5                        1.359                   13.75      3.457e-16
  550  NaN            1   0.95     0.02       True          93     wegstein        47.39                 11.45                                     11.45                           0.9989            0.0136                  10.73            34.38   4121  -1960 -125.1                         1.36                   33.48      -7.26e-15
  550  NaN            1   0.95     0.01       True         132     wegstein        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122  -2024 -63.83                         1.36                   66.36     -1.383e-15
  550  NaN            1   0.99      0.2       True          77       direct        47.37                 11.44                                     11.44                           0.9979           0.02608                  10.73             34.3   4120  -1199 -855.4                        1.359                   3.893     -2.305e-16
  550  NaN            1   0.99      0.1       True         148       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.36   4121  -1555 -514.3                         1.36                   7.181      3.687e-15
  550  NaN            1   0.99     0.05       True         289       direct        47.39                 11.46                                     11.46                           0.9995          0.006531                  10.73            34.38   4122  -1795 -283.5                         1.36                   13.76     -2.074e-15
  550  NaN            1   0.99     0.02       True          93     wegstein         47.4                 11.46                                     11.46                           0.9998          0.002613                  10.73            34.38   4122  -1965 -120.2                         1.36                   33.48     -3.572e-15
  550  NaN            1   0.99     0.01       True         132     wegstein         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122  -2026 -61.29                         1.36                   66.36     -4.033e-15
  600  NaN         0.35      0        1       True           1 once-through        36.06                 1.206                                     1.102                           0.1052             11.34                  7.709            30.19   3031 -196.4  -1529                            1                     NaN      2.766e-15
  600  NaN         0.35    0.9      0.2       True          22       direct        47.11                  11.2                                      11.2                            0.977            0.2875                  10.64             34.2   4097   -224  -1800                        1.352                   1.316      1.291e-11
  600  NaN         0.35    0.9      0.1       True          20       direct        47.25                 11.33                                     11.33                           0.9884            0.1449                  10.69            34.29   4110 -213.2  -1811                        1.356                   1.328      8.727e-12
  600  NaN         0.35    0.9     0.05       True          20       direct        47.33                  11.4                                      11.4                           0.9942           0.07278                  10.71            34.34   4116   -208  -1817                        1.358                   1.335      1.074e-11
  600  NaN         0.35    0.9     0.02       True          20       direct        47.37                 11.44                                     11.44                           0.9977           0.02919                  10.73            34.37   4120 -204.8  -1820                        1.359                    1.34      1.069e-11
  600  NaN         0.35    0.9     0.01       True          19       direct        47.38                 11.45                                     11.45                           0.9988           0.01461                  10.73            34.38   4121 -203.8  -1821                         1.36                   1.341      9.791e-12
  600  NaN         0.35   0.95      0.2       True          22       direct        47.26                 11.34                                     11.34                            0.989            0.1378                  10.69            34.21   4110 -287.9  -1739                        1.356                    1.32      3.028e-12
  600  NaN         0.35   0.95      0.1       True          19       direct        47.33                  11.4                                      11.4                           0.9945             0.069                  10.71             34.3   4116 -285.4  -1742                        1.358                   1.333       4.45e-12
  600  NaN         0.35   0.95     0.05       True          19       direct        47.36                 11.43                                     11.43                           0.9972           0.03453                  10.72            34.34   4119 -284.5  -1743                        1.359                   1.339      5.185e-12
  600  NaN         0.35   0.95     0.02       True          19       direct        47.39                 11.45                                     11.45                           0.9989           0.01382                  10.73            34.37   4121   -284  -1743                         1.36                   1.343      5.015e-12
  600  NaN         0.35   0.95     0.01       True          18       direct        47.39                 11.46                                     11.46                           0.9994          0.006913                  10.73            34.38   4122 -283.9  -1744                         1.36                   1.345       4.66e-12
  600  NaN         0.35   0.99      0.2       True          21       direct        47.37                 11.44                                     11.44                           0.9978           0.02793                  10.73            34.22   4120 -335.9  -1693                        1.359                   1.324      3.645e-12
  600  NaN         0.35   0.99      0.1       True          19       direct        47.39                 11.45                                     11.45                           0.9989           0.01381                  10.73             34.3   4121 -339.4  -1690                         1.36                   1.336      1.625e-12
  600  NaN         0.35   0.99     0.05       True          19       direct        47.39                 11.46                                     11.46                           0.9995          0.006867                  10.73            34.34   4122 -341.4  -1688                         1.36                   1.342      1.931e-12
  600  NaN         0.35   0.99     0.02       True          19       direct         47.4                 11.46                                     11.46                           0.9998          0.002739                  10.73            34.37   4122 -342.8  -1687                         1.36                   1.346      1.886e-12
  600  NaN         0.35   0.99     0.01       True          18       direct         47.4                 11.46                                     11.46                           0.9999          0.001368                  10.74            34.38   4122 -343.3  -1686                         1.36                   1.348      1.777e-12
  600  NaN          0.5      0        1       True           1 once-through        34.85                     0                                         0                                0             12.55                  6.549            33.39   3031 -196.4  -1820                            1                     NaN      8.066e-16
  600  NaN          0.5    0.9      0.2       True          26       direct        47.12                 11.21                                     11.21                           0.9776            0.2811                  10.64            34.23   4098 -353.2  -1677                        1.352                   1.527      1.671e-14
  600  NaN          0.5    0.9      0.1       True          25       direct        47.26                 11.33                                     11.33                           0.9887            0.1421                  10.69            34.31   4110 -373.8  -1658                        1.356                   1.595      1.867e-14
  600  NaN          0.5    0.9     0.05       True          26       direct        47.33                  11.4                                      11.4                           0.9943           0.07147                  10.71            34.35   4116 -386.7  -1645                        1.358                   1.635      1.429e-14
  600  NaN          0.5    0.9     0.02       True          26       direct        47.37                 11.44                                     11.44                           0.9977           0.02869                  10.73            34.37   4120 -395.3  -1637                        1.359                   1.661      1.705e-14
  600  NaN          0.5    0.9     0.01       True          25       direct        47.38                 11.45                                     11.45                           0.9989           0.01436                  10.73            34.38   4121 -398.4  -1634                         1.36                    1.67      1.268e-14
  600  NaN          0.5   0.95      0.2       True          26       direct        47.26                 11.34                                     11.34                           0.9893            0.1347                  10.69            34.23   4110   -413  -1619                        1.356                   1.532      1.049e-14
  600  NaN          0.5   0.95      0.1       True          25       direct        47.33                  11.4                                      11.4                           0.9946           0.06773                  10.71            34.31   4116 -440.3  -1593                        1.358                   1.599      1.118e-14
  600  NaN          0.5   0.95     0.05       True          25       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.35   4119 -456.4  -1578                        1.359                   1.638       2.27e-14
  600  NaN          0.5   0.95     0.02       True          25       direct        47.39                 11.45                                     11.45                           0.9989           0.01361                  10.73            34.37   4121   -467  -1568                         1.36                   1.664      2.512e-14
  600  NaN          0.5   0.95     0.01       True          24       direct        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122 -470.7  -1564                         1.36                   1.673      1.936e-14
  600  NaN          0.5   0.99      0.2       True          25       direct        47.37                 11.44                                     11.44                           0.9979            0.0261                  10.73            34.24   4120 -458.1  -1576                        1.359                   1.535      2.512e-14
  600  NaN          0.5   0.99      0.1       True          24       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.31   4121   -490  -1545                         1.36                   1.602      2.408e-14
  600  NaN          0.5   0.99     0.05       True          25       direct        47.39                 11.46                                     11.46                           0.9995          0.006533                  10.73            34.35   4122 -508.4  -1528                         1.36                   1.641      1.867e-14
  600  NaN          0.5   0.99     0.02       True          25       direct         47.4                 11.46                                     11.46                           0.9998          0.002614                  10.73            34.37   4122 -520.2  -1516                         1.36                   1.666      2.063e-14
  600  NaN          0.5   0.99     0.01       True          24       direct         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122 -524.3  -1512                         1.36                   1.675      1.671e-14
  600  NaN         0.75      0        1       True           1 once-through        34.85                     0                                         0                                0             12.55                  6.524             33.5   3031 -196.4  -1826                            1                     NaN      9.219e-16
  600  NaN         0.75    0.9      0.2       True          38       direct        47.12                 11.21                                     11.21                           0.9776            0.2811                  10.64            34.26   4098 -649.7  -1392                        1.352                   2.139      2.766e-15
  600  NaN         0.75    0.9      0.1       True          43       direct        47.26                 11.33                                     11.33                           0.9887            0.1421                  10.69            34.33   4110 -769.5  -1277                        1.356                   2.497      1.152e-15
  600  NaN         0.75    0.9     0.05       True          48       direct        47.33                  11.4                                      11.4                           0.9943           0.07147                  10.71            34.36   4116 -844.7  -1204                        1.358                   2.749      2.305e-16
  600  NaN         0.75    0.9     0.02       True          51       direct        47.37                 11.44                                     11.44                           0.9977           0.02869                  10.73            34.37   4120 -895.9  -1155                        1.359                   2.936      6.914e-16
  600  NaN         0.75    0.9     0.01       True          49       direct        47.38                 11.45                                     11.45                           0.9989           0.01436                  10.73            34.38   4121   -914  -1137                         1.36                   3.005      2.305e-16
  600  NaN         0.75   0.95      0.2       True          38       direct        47.26                 11.34                                     11.34                           0.9893            0.1347                  10.69            34.26   4110   -701  -1342                        1.356                   2.144      1.844e-15
  600  NaN         0.75   0.95      0.1       True          43       direct        47.33                  11.4                                      11.4                           0.9946           0.06773                  10.71            34.33   4116 -822.8  -1225                        1.358                     2.5      6.914e-16
  600  NaN         0.75   0.95     0.05       True          48       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.36   4119   -898  -1153                        1.359                   2.751     -2.305e-16
  600  NaN         0.75   0.95     0.02       True          51       direct        47.39                 11.45                                     11.45                           0.9989            0.0136                  10.73            34.37   4121 -948.8  -1104                         1.36                   2.936     -2.305e-16
  600  NaN         0.75   0.95     0.01       True          49       direct        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122 -966.8  -1086                         1.36                   3.006     -9.219e-16
  600  NaN         0.75   0.99      0.2       True          38       direct        47.37                 11.44                                     11.44                           0.9979           0.02608                  10.73            34.26   4120 -739.4  -1305                        1.359                   2.148      6.799e-15
  600  NaN         0.75   0.99      0.1       True          43       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.33   4121 -862.4  -1187                         1.36                   2.503      4.379e-15
  600  NaN         0.75   0.99     0.05       True          48       direct        47.39                 11.46                                     11.46                           0.9995          0.006531                  10.73            34.36   4122 -937.5  -1114                         1.36                   2.752      3.342e-15
  600  NaN         0.75   0.99     0.02       True          51       direct         47.4                 11.46                                     11.46                           0.9998          0.002613                  10.73            34.38   4122   -988  -1066                         1.36                   2.937      2.074e-15
  600  NaN         0.75   0.99     0.01       True          49       direct         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122  -1006  -1049                         1.36                   3.006      2.766e-15
  600  NaN            1      0        1       True           1 once-through        34.85                     0                                         0                                0             12.55                  6.524             33.5   3031 -196.4  -1826                            1                     NaN      6.914e-16
  600  NaN            1    0.9      0.2       True          77       direct        47.12                 11.21                                     11.21                           0.9776            0.2811                  10.64             34.3   4098  -1135 -923.7                        1.352                   3.877     -1.613e-15
  600  NaN            1    0.9      0.1       True         148       direct        47.26                 11.33                                     11.33                           0.9887            0.1421                  10.69            34.36   4110  -1510 -561.9                        1.356                   7.166      1.152e-16
  600  NaN            1    0.9     0.05       True         289       direct        47.33                  11.4                                      11.4                           0.9943           0.07147                  10.71            34.38   4116  -1768 -311.8                        1.358                   13.74     -9.219e-16
  600  NaN            1    0.9     0.02       True          93     wegstein        47.37                 11.44                                     11.44                           0.9977           0.02869                  10.73            34.38   4120  -1953 -132.8                        1.359                   33.47     -3.457e-16
  600  NaN            1    0.9     0.01       True         132     wegstein        47.38                 11.45                                     11.45                           0.9989           0.01436                  10.73            34.38   4121  -2020  -67.8                         1.36                   66.35       2.65e-15
  600  NaN            1   0.95      0.2       True          77       direct        47.26                 11.34                                     11.34                           0.9893            0.1347                  10.69             34.3   4110  -1172 -888.2                        1.356                   3.886     -1.268e-15
  600  NaN            1   0.95      0.1       True         148       direct        47.33                  11.4                                      11.4                           0.9946           0.06773                  10.71            34.36   4116  -1536 -536.7                        1.358                   7.174      2.074e-15
  600  NaN            1   0.95     0.05       True         289       direct        47.37                 11.43                                     11.43                           0.9973           0.03396                  10.72            34.38   4119  -1784 -296.6                        1.359                   13.75      1.498e-15
  600  NaN            1   0.95     0.02       True          93     wegstein        47.39                 11.45                                     11.45                           0.9989            0.0136                  10.73            34.38   4121  -1960   -126                         1.36                   33.48     -6.338e-15
  600  NaN            1   0.95     0.01       True         132     wegstein        47.39                 11.46                                     11.46                           0.9995          0.006806                  10.73            34.38   4122  -2024 -64.28                         1.36                   66.36     -1.268e-15
  600  NaN            1   0.99      0.2       True          77       direct        47.37                 11.44                                     11.44                           0.9979           0.02608                  10.73             34.3   4120  -1199 -861.8                        1.359                   3.893      5.762e-16
  600  NaN            1   0.99      0.1       True         148       direct        47.39                 11.45                                     11.45                            0.999           0.01306                  10.73            34.36   4121  -1555 -518.1                         1.36                   7.181      2.305e-15
