case,config,y_CH4_biogas,h_H2_to_CFR,CO2_carbon_fixed_fraction,C_total_tpd,heat_recovery_fraction,boundary,power_source,aux_power_kW,H2_exportable_tpd,H2_burned_for_heat_tpd,H2_after_heat_tpd,H2_for_auxiliaries_tpd,H2_net_final_tpd,self_sufficient,heat_recovery_required_for_zero_net,grid_cost_usd_y_at_0p06,grid_cost_usd_y_at_0p04,grid_cost_usd_y_at_0p08
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.0,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3133.3370246432514,3.347766374270134,3.7961637255393046,-0.4483973512691706,4.513810839822211,-4.962208191091381,False,1.512249547755107,1488961.754110473,992641.1694069821,1985282.3388139643
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.0,incl. upgrading (high 0.45),H2 engine 0.40,4149.424471448146,3.347766374270134,3.7961637255393046,-0.4483973512691706,7.471952829738556,-7.920350181007727,False,2.4137532159158943,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.0,incl. upgrading (high 0.45),fuel cell 0.50,4149.424471448146,3.347766374270134,3.7961637255393046,-0.4483973512691706,5.977562263790846,-6.425959615060016,False,1.9583326913234176,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,excl. upgrading (submitted boundary),H2 engine 0.40,1863.2277161371342,3.347766374270134,2.9758281865970635,0.3719381876730705,3.355151949826772,-2.9832137621537016,False,1.159144374630022,885405.8107083661,590270.5404722441,1180541.0809444883
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,excl. upgrading (submitted boundary),fuel cell 0.50,1863.2277161371342,3.347766374270134,2.9758281865970635,0.3719381876730705,2.684121559861418,-2.3121833721883474,False,0.9546456182947193,885405.8107083661,590270.5404722441,1180541.0809444883
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3133.3370246432514,3.347766374270134,2.9758281865970635,0.3719381876730705,5.642263549777763,-5.270325362104693,False,1.8561492864555067,1488961.754110473,992641.1694069821,1985282.3388139643
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3133.3370246432514,3.347766374270134,2.9758281865970635,0.3719381876730705,4.513810839822211,-4.141872652149141,False,1.512249547755107,1488961.754110473,992641.1694069821,1985282.3388139643
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,incl. upgrading (high 0.45),H2 engine 0.40,4149.424471448146,3.347766374270134,2.9758281865970635,0.3719381876730705,7.471952829738556,-7.100014642065485,False,2.4137532159158943,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.25,incl. upgrading (high 0.45),fuel cell 0.50,4149.424471448146,3.347766374270134,2.9758281865970635,0.3719381876730705,5.977562263790846,-5.605624076117776,False,1.9583326913234176,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,excl. upgrading (submitted boundary),H2 engine 0.40,1863.2277161371342,3.347766374270134,2.1554926476548233,1.1922737266153107,3.355151949826772,-2.1628782232114614,False,1.159144374630022,885405.8107083661,590270.5404722441,1180541.0809444883
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,excl. upgrading (submitted boundary),fuel cell 0.50,1863.2277161371342,3.347766374270134,2.1554926476548233,1.1922737266153107,2.684121559861418,-1.4918478332461071,False,0.9546456182947193,885405.8107083661,590270.5404722441,1180541.0809444883
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3133.3370246432514,3.347766374270134,2.1554926476548233,1.1922737266153107,5.642263549777763,-4.449989823162452,False,1.8561492864555067,1488961.754110473,992641.1694069821,1985282.3388139643
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3133.3370246432514,3.347766374270134,2.1554926476548233,1.1922737266153107,4.513810839822211,-3.3215371132069005,False,1.512249547755107,1488961.754110473,992641.1694069821,1985282.3388139643
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,incl. upgrading (high 0.45),H2 engine 0.40,4149.424471448146,3.347766374270134,2.1554926476548233,1.1922737266153107,7.471952829738556,-6.279679103123245,False,2.4137532159158943,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,0.883728046473538,61.88607401501757,0.5,incl. upgrading (high 0.45),fuel cell 0.50,4149.424471448146,3.347766374270134,2.1554926476548233,1.1922737266153107,5.977562263790846,-4.785288537175536,False,1.9583326913234176,1971806.5088321588,1314537.6725547726,2629075.345109545
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,excl. upgrading (submitted boundary),H2 engine 0.40,1010.2344032510924,2.550625060225989,3.8270587591041427,-1.276433698878154,1.8191495856862407,-3.0955832845643947,False,0.8966272207441968,480063.3884249191,320042.2589499461,640084.5178998922
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,excl. upgrading (submitted boundary),fuel cell 0.50,1010.2344032510924,2.550625060225989,3.8270587591041427,-1.276433698878154,1.4553196685489926,-2.731753367427147,False,0.7912448816377019,480063.3884249191,320042.2589499461,640084.5178998922
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2280.34371175721,2.550625060225989,3.8270587591041427,-1.276433698878154,4.106261185637233,-5.382694884515386,False,1.5590828321377825,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2280.34371175721,2.550625060225989,3.8270587591041427,-1.276433698878154,3.2850089485097858,-4.56144264738794,False,1.3212093707525705,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,incl. upgrading (high 0.45),H2 engine 0.40,3296.4311585621035,2.550625060225989,3.8270587591041427,-1.276433698878154,5.935950465598025,-7.212384164476179,False,2.089047321252651,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.0,incl. upgrading (high 0.45),fuel cell 0.50,3296.4311585621035,2.550625060225989,3.8270587591041427,-1.276433698878154,4.74876037247842,-6.025194071356575,False,1.7451809620444656,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,excl. upgrading (submitted boundary),H2 engine 0.40,1010.2344032510924,2.550625060225989,2.9639399475887305,-0.4133148873627417,1.8191495856862407,-2.2324644730489824,False,0.8966272207441968,480063.3884249191,320042.2589499461,640084.5178998922
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,excl. upgrading (submitted boundary),fuel cell 0.50,1010.2344032510924,2.550625060225989,2.9639399475887305,-0.4133148873627417,1.4553196685489926,-1.8686345559117343,False,0.7912448816377019,480063.3884249191,320042.2589499461,640084.5178998922
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2280.34371175721,2.550625060225989,2.9639399475887305,-0.4133148873627417,4.106261185637233,-4.519576072999975,False,1.5590828321377825,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2280.34371175721,2.550625060225989,2.9639399475887305,-0.4133148873627417,3.2850089485097858,-3.6983238358725274,False,1.3212093707525705,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,incl. upgrading (high 0.45),H2 engine 0.40,3296.4311585621035,2.550625060225989,2.9639399475887305,-0.4133148873627417,5.935950465598025,-6.349265352960767,False,2.089047321252651,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.25,incl. upgrading (high 0.45),fuel cell 0.50,3296.4311585621035,2.550625060225989,2.9639399475887305,-0.4133148873627417,4.74876037247842,-5.162075259841162,False,1.7451809620444656,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,excl. upgrading (submitted boundary),H2 engine 0.40,1010.2344032510924,2.550625060225989,2.100821136073318,0.44980392415267056,1.8191495856862407,-1.3693456615335702,False,0.8966272207441968,480063.3884249191,320042.2589499461,640084.5178998922
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,excl. upgrading (submitted boundary),fuel cell 0.50,1010.2344032510924,2.550625060225989,2.100821136073318,0.44980392415267056,1.4553196685489926,-1.005515744396322,False,0.7912448816377019,480063.3884249191,320042.2589499461,640084.5178998922
