feed_case,phi_meth_to_rwgs_inlet_rate_ratio,k2_uncalibrated_mol_m3_s,tau_s,X_CO2_kinetic,X_CO2_gibbs_equilibrium,X_CO2_rwgs_only_equilibrium,approach_to_gibbs,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,CO_out_kmol_d,CH4_out_kmol_d,H2O_out_kmol_d,H2_out_kmol_d,CO2_out_kmol_d,Q_RWGS_kW,Q_meth_kW,Q2_total_kinetic_kW,Q2_gibbs_equilibrium_kW
A_eq_chain,1.0,12.451962043106052,0.5,0.3923236450054478,0.8137181690916715,0.8177359176484592,0.4821370099716301,199.81557901883747,174.59858831577137,199.81557901883747,264.9075620402156,549.0127556503801,6155.071096126642,579.9360792058714,81.56714483102722,-382.37002759008686,-300.8028827590596,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,1.0,0.5847262138586886,0.8137181690916715,0.8177359176484592,0.7185856677028614,310.509180978396,247.52442537632496,310.509180978396,337.8333991007692,805.5580317310463,5752.674145924873,396.31664018575924,126.75361681303514,-542.077242853724,-415.32362604068885,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,2.0,0.7295211062085238,0.8137181690916715,0.8177359176484592,0.8965279797338994,414.0650458860081,282.1536016805798,414.0650458860081,372.46257540502404,978.372249247169,5510.601575800241,258.13159897389164,169.02637788851249,-617.9149642614855,-448.888586372973,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,3.0,0.7696859008171124,0.8137181690916715,0.8177359176484592,0.945887569004744,460.41109528732846,274.13883391621346,460.41109528732846,364.44780764065774,1008.6887631197574,5496.314597456386,219.80031733693747,187.94539782892994,-600.3626632907218,-412.4172654617919,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,5.0,0.7920256226015097,0.8137181690916715,0.8177359176484592,0.9733414500079597,508.0228633862465,247.84698480988067,508.0228633862465,338.1559585343249,1003.716833006009,5553.870225782799,198.48039834435212,207.38109950572266,-542.7836463859512,-335.40254688022856,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,10.0,0.8071690424930362,0.8137181690916715,0.8177359176484592,0.9919516033346707,556.2773184589846,214.04465624408692,556.2773184589846,304.35362996853115,984.3666309471602,5640.825084973234,184.02827183740783,227.07915380653,-468.7567173541073,-241.6775635475773,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,30.0,0.8136345766844256,0.8137181690916715,0.8177359176484592,0.9998972710572025,578.6611442855026,197.83121456713778,578.6611442855026,288.14018829158204,974.3235734197792,5683.295025854515,177.85788768783937,236.21650321656753,-433.2493618757623,-197.03285865919477,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,100.0,0.8137180289281345,0.8137181690916715,0.8177359176484592,0.9999998277492843,578.9556077533081,197.61639376869056,578.9556077533081,287.9253674931348,974.1883952906888,5683.859845580499,177.77824501848147,236.33670677849133,-432.77890541089886,-196.44219863240752,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,0.1,0.37950065616364237,0.8137181690916715,0.8177359176484592,0.46637849636228135,40.45537769827438,321.7211670737714,40.45537769827438,412.03014079821565,683.8977118458176,5725.940982415207,592.1737017684342,16.514376246898976,-704.5677328606496,-688.0533566137506,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,0.3,0.5552955818865046,0.8137181690916715,0.8177359176484592,0.6824175777055144,88.73917732823168,441.2072981479936,88.73917732823168,531.5162718724379,971.1537736242196,5199.712658488358,424.4037710642551,36.224409352164194,-966.2417571251179,-930.0173477729537,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,0.5,0.5862532447645351,0.8137181690916715,0.8177359176484592,0.7204622767842969,127.05940943301894,432.43151924317124,127.05940943301894,522.7404929676154,991.922447919363,5196.495542002856,394.8593178642897,51.86719325018594,-947.0228455959327,-895.1556523457468,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,1.0,0.6299149435606239,0.8137181690916715,0.8177359176484592,0.774119305046093,208.14651644506554,393.0129652415482,208.14651644506554,483.32193896599244,994.1724469281635,5273.082650997307,353.1907648538662,84.96793461408666,-860.6964111925657,-775.7284765784791,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,2.0,0.6909455066004676,0.8137181690916715,0.8177359176484592,0.8491213946614327,326.143853140962,333.2601614292309,326.143853140962,423.5691351536752,992.6641759994257,5394.0965295506785,294.946231970287,133.13587977236836,-729.8380722867579,-596.7021925143895,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,3.0,0.7302934658428897,0.8137181690916715,0.8177359176484592,0.8974771531255026,404.41879997223845,292.5369492018247,404.41879997223845,382.845922926269,989.4926983758897,5478.714431629028,257.3944973664167,165.08866321487346,-640.654442950714,-475.5657797358406,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,5.0,0.7738144348777998,0.8137181690916715,0.8177359176484592,0.9509612348235814,493.70481902347274,244.78517767873737,493.70481902347274,335.0941514031816,983.2751743809496,5580.435498670139,215.86024983826968,201.53629999624428,-536.0783042150658,-334.54200421882155,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,10.0,0.8067564816380925,0.8137181690916715,0.8177359176484592,0.9914445962766814,563.7970205142282,206.13122663521577,563.7970205142282,296.44020035966,976.0594737846619,5664.95910135347,184.42199939103617,230.14878746391568,-451.42634643264347,-221.2775589687278,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,30.0,0.8137101821080097,0.8137181690916715,0.8177359176484592,0.9999901845823712,578.938445112786,197.62606779449152,578.938445112786,287.93504151893575,974.1905807017713,5683.838312117808,177.78573363320217,236.3297007803003,-432.8000914785991,-196.4703906982988,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,100.0,0.813718028953776,0.8137181690916715,0.8177359176484592,0.9999998277807958,578.9556078434346,197.61639370303456,578.9556078434346,287.9253674274788,974.1883952495059,5683.8598457529915,177.77824499401052,236.3367068152821,-432.7789052671125,-196.44219845183042,-196.44502096811826
