case_id,value_type,stream,species,kmol_d,t_d
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,CO2,366.9269965911264,16.14809019297888
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,H2O,204.74921528893123,3.6885571134300963
kin_tau1-3s_phi-1_T3-800,kinetic,stage3_out,C(s),302.6847825980832,3.6355469237855766
kin_tau1-taustar_phi-0_T3-650,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-0_T3-650,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-650,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_out,H2,5801.8462858404,11.696522112254247
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_out,CO,671.3884696070735,18.805591033694128
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_out,H2O,671.3884696070735,12.095063279971429
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-650,kinetic,stage2_out,CO2,282.96177693340707,12.452864841062311
kin_tau1-taustar_phi-0_T3-650,kinetic,recovered_water,H2O,637.8190461267197,11.490310115972855
kin_tau1-taustar_phi-0_T3-650,kinetic,membrane_permeate,H2,3771.2000857962603,7.60273937296526
kin_tau1-taustar_phi-0_T3-650,kinetic,cfr_feed,H2,2030.64620004414,4.0937827392889865
kin_tau1-taustar_phi-0_T3-650,kinetic,cfr_feed,CO,671.3884696070735,18.805591033694128
kin_tau1-taustar_phi-0_T3-650,kinetic,cfr_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-650,kinetic,cfr_feed,CO2,282.96177693340707,12.452864841062311
kin_tau1-taustar_phi-0_T3-650,kinetic,cfr_feed,H2O,33.56942348035375,0.6047531639985727
kin_tau1-taustar_phi-0_T3-650,kinetic,stage3_out,H2,2018.8937210017396,4.070089741539507
kin_tau1-taustar_phi-0_T3-650,kinetic,stage3_out,CO,668.5346444638075,18.725655391431246
kin_tau1-taustar_phi-0_T3-650,kinetic,stage3_out,CH4,383.9933082148417,6.160404643690706
kin_tau1-taustar_phi-0_T3-650,kinetic,stage3_out,CO2,282.1640260302562,12.417756621565545
kin_tau1-taustar_phi-0_T3-650,kinetic,stage3_out,H2O,38.01875042992062,0.68490778899502
kin_tau1-taustar_phi-0_T3-800,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-0_T3-800,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-800,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_out,H2,5801.8462858404,11.696522112254247
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_out,CO,671.3884696070735,18.805591033694128
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_out,H2O,671.3884696070735,12.095063279971429
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-800,kinetic,stage2_out,CO2,282.96177693340707,12.452864841062311
kin_tau1-taustar_phi-0_T3-800,kinetic,recovered_water,H2O,637.8190461267197,11.490310115972855
kin_tau1-taustar_phi-0_T3-800,kinetic,membrane_permeate,H2,3771.2000857962603,7.60273937296526
kin_tau1-taustar_phi-0_T3-800,kinetic,cfr_feed,H2,2030.64620004414,4.0937827392889865
kin_tau1-taustar_phi-0_T3-800,kinetic,cfr_feed,CO,671.3884696070735,18.805591033694128
kin_tau1-taustar_phi-0_T3-800,kinetic,cfr_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0_T3-800,kinetic,cfr_feed,CO2,282.96177693340707,12.452864841062311
kin_tau1-taustar_phi-0_T3-800,kinetic,cfr_feed,H2O,33.56942348035375,0.6047531639985727
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,H2,1338.206905090363,2.697825120662172
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,CH4,600.2670649213331,9.630084522532947
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,CO,477.80893412767614,13.383428244916207
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,H2O,286.15805292831016,5.155137323503508
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,CO2,253.45722994912808,11.154399232831178
kin_tau1-taustar_phi-0_T3-800,kinetic,stage3_out,C(s),3.1587497107678746,0.03793974277603294
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_out,H2,5650.778880249445,11.391970222582882
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_out,H2O,729.7598753039246,13.146624153600202
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_out,CO,637.0638754098171,17.84415915022898
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_out,CH4,426.6897321154794,6.8453833723286355
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage2_out,CO2,270.93837118360926,11.92372677741946
kin_tau1-taustar_phi-0.1_T3-650,kinetic,recovered_water,H2O,693.2718815387283,12.48929294592019
kin_tau1-taustar_phi-0.1_T3-650,kinetic,membrane_permeate,H2,3673.0062721621393,7.404780644678873
kin_tau1-taustar_phi-0.1_T3-650,kinetic,cfr_feed,H2,1977.7726080873056,3.987189577904008
kin_tau1-taustar_phi-0.1_T3-650,kinetic,cfr_feed,CO,637.0638754098171,17.84415915022898
kin_tau1-taustar_phi-0.1_T3-650,kinetic,cfr_feed,CH4,426.6897321154794,6.8453833723286355
kin_tau1-taustar_phi-0.1_T3-650,kinetic,cfr_feed,CO2,270.93837118360926,11.92372677741946
kin_tau1-taustar_phi-0.1_T3-650,kinetic,cfr_feed,H2O,36.48799376519628,0.657331207680011
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage3_out,H2,1966.8539420903778,3.9651775472542017
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage3_out,CO,634.3943386691806,17.769385426123748
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage3_out,CH4,430.0867827998728,6.89988225645836
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage3_out,CO2,270.2108572398542,11.891709616268743
kin_tau1-taustar_phi-0.1_T3-650,kinetic,stage3_out,H2O,40.61255839334534,0.7316352394561163
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_out,H2,5650.778880249445,11.391970222582882
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_out,H2O,729.7598753039246,13.146624153600202
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_out,CO,637.0638754098171,17.84415915022898
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_out,CH4,426.6897321154794,6.8453833723286355
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage2_out,CO2,270.93837118360926,11.92372677741946
kin_tau1-taustar_phi-0.1_T3-800,kinetic,recovered_water,H2O,693.2718815387283,12.48929294592019
kin_tau1-taustar_phi-0.1_T3-800,kinetic,membrane_permeate,H2,3673.0062721621393,7.404780644678873
kin_tau1-taustar_phi-0.1_T3-800,kinetic,cfr_feed,H2,1977.7726080873056,3.987189577904008
kin_tau1-taustar_phi-0.1_T3-800,kinetic,cfr_feed,CO,637.0638754098171,17.84415915022898
kin_tau1-taustar_phi-0.1_T3-800,kinetic,cfr_feed,CH4,426.6897321154794,6.8453833723286355
kin_tau1-taustar_phi-0.1_T3-800,kinetic,cfr_feed,CO2,270.93837118360926,11.92372677741946
kin_tau1-taustar_phi-0.1_T3-800,kinetic,cfr_feed,H2O,36.48799376519628,0.657331207680011
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,H2,1329.6725154138999,2.680619791074422
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,CH4,631.6701537583685,10.133884276745507
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,CO,454.0005960361716,12.716556694973166
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,H2O,274.6272431528195,4.947409785398044
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,CO2,243.4003861766203,10.711807595246883
kin_tau1-taustar_phi-0.1_T3-800,kinetic,stage3_out,C(s),5.620842737744361,0.06751194212304752
kin_tau1-taustar_phi-1_T3-650,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-1_T3-650,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-1_T3-650,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_out,H2,5219.21094819901,10.521929271569205
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_out,H2O,877.752918703625,15.812718830445805
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_out,CH4,568.4771764408451,9.120079341640478
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_out,CO,501.48203015878704,14.046511664747625
kin_tau1-taustar_phi-1_T3-650,kinetic,stage2_out,CO2,264.7327721092741,11.650624567757044
kin_tau1-taustar_phi-1_T3-650,kinetic,recovered_water,H2O,833.8652727684438,15.022082888923514
kin_tau1-taustar_phi-1_T3-650,kinetic,membrane_permeate,H2,3392.4871163293565,6.839254026519982
kin_tau1-taustar_phi-1_T3-650,kinetic,cfr_feed,H2,1826.7238318696534,3.6826752450492215
