case,value_type,stream,species,kmol_d,t_d
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,H2,10.278631594298147,0.020721721294105065
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,H2O,4.521405902241725,0.08145312732888467
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,other,2.7020882847974575e-05,8.125662518879747e-07
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,total,118.52354730769447,4.637247977857698
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 solid carbon,C(s),3135.5544079311007,37.66114399366045
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 solid carbon,C(s),1747.3205560695944,20.987067198951895
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),CH4,2991.959109892165,48.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),H2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),total,2991.959109892165,48.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),CH4,480.2709177117264,7.704986332849225
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),H2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),total,480.2709177117264,7.704986332849225
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,CH4,3472.2300276038914,55.70498633284923
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,H2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,total,3472.2300276038914,55.70498633284923
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,CH4,441.3875089314434,7.081179805787146
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,H2,6061.685037344897,12.220357035287313
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,total,6503.07254627634,19.30153684107446
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),CH4,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),CO2,1994.639406594777,87.78208564482954
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),H2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),total,1994.639406594777,87.78208564482954
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,CH4,24.013545885586357,0.3852493166424619
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,CO2,9508.317178912328,418.45153072675265
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,CO,27258.128023576937,763.5001659403899
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,H2,3944.895425028286,7.952909176857024
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,H2O,5.302895030436251,0.09553165397330907
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,total,40740.657068433575,1190.3853868146152
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,CH4,465.4010548170298,7.466429122429608
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,CO2,11502.956585507105,506.23361637158223
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,CO,27258.128023576937,763.5001659403899
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,H2,10006.580462373182,20.173266212144334
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,H2O,5.302895030436251,0.09553165397330907
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,total,49238.369021304694,1297.4690093005195
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,CH4,489.5389037741429,7.853672633248574
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,CO2,10008.789387499208,440.47681215445266
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,CO,28728.15737262773,804.6756880073027
