case,y_CH4_biogas,raw_biogas_Nm3_d,Q_H_min_kW,Q_C_min_kW,Q3_kW,plateau_650K_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,aux_excl_upgrading_kW,upgrading_membrane_el_kW,upgrading_amine_el_kW,upgrading_amine_heat_kW,CO2_carbon_fixed_fraction,C_total_tpd,option,power_source,reboiler,heat_to_amine_kW,heat_available_at_reboiler_kW,heat_to_power_kW,bottoming_power_kW,electricity_demand_kW,residual_electricity_kW,H2_net_final_tpd,heat_shortfall_kW
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"ref: upgrading outside boundary, bottoming eta 0.25",H2 engine 0.40,,0.0,,3872.257188987023,968.0642972467557,1863.2277161371344,895.1634188903787,-2.1527289539094645,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading , no bottoming",H2 engine 0.40,,0.0,,0.0,0.0,3133.3370246432514,3133.3370246432514,-6.183053574112716,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading, all plateau to power eta 0.20",H2 engine 0.40,,0.0,,3872.257188987023,774.4514377974047,3133.3370246432514,2358.885586845847,-4.788483157910908,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading, all plateau to power eta 0.25",H2 engine 0.40,,0.0,,3872.257188987023,968.0642972467557,3133.3370246432514,2165.2727273964956,-4.439840553860455,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 120 C (base), no bottoming",H2 engine 0.40,120 C (base),2794.2404787134583,4007.6173358232973,0.0,0.0,2523.6845565603153,2523.6845565603153,-5.085240006136241,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.20 on remaining heat",H2 engine 0.40,120 C (base),2794.2404787134583,4007.6173358232973,1213.376857109839,242.6753714219678,2523.6845565603153,2281.0091851383477,-4.6482495413908005,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.25 on remaining heat",H2 engine 0.40,120 C (base),2794.2404787134583,4007.6173358232973,1213.376857109839,303.34421427745974,2523.6845565603153,2220.3403422828555,-4.53900192520444,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 160 C (conservative), no bottoming",H2 engine 0.40,160 C (conservative),2794.2404787134583,3980.672839077114,0.0,0.0,2523.6845565603153,2523.6845565603153,-5.085240006136241,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.20 on remaining heat",H2 engine 0.40,160 C (conservative),2794.2404787134583,3980.672839077114,1186.4323603636558,237.28647207273116,2523.6845565603153,2286.398084487584,-4.657953441779582,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.25 on remaining heat",H2 engine 0.40,160 C (conservative),2794.2404787134583,3980.672839077114,1186.4323603636558,296.60809009091395,2523.6845565603153,2227.0764664694016,-4.551131800690418,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), no bottoming",H2 engine 0.40,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,0.0,0.0,2777.7064182615386,2777.7064182615386,-5.542662326126439,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.20 on remaining heat",H2 engine 0.40,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,1234.3099381444172,246.86198762888344,2777.7064182615386,2530.844430632655,-5.098132936638653,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.25 on remaining heat",H2 engine 0.40,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,1234.3099381444172,308.5774845361043,2777.7064182615386,2469.1289337254343,-4.987000589266707,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,ref: upgrading outside boundary,fuel cell 0.50,,0.0,,0.0,0.0,980.476735162334,980.476735162334,-0.5078531866610534,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"ref: upgrading outside boundary, bottoming eta 0.20",fuel cell 0.50,,0.0,,3170.825900152088,634.1651800304176,980.476735162334,346.3115551319164,0.40571009789657086,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"ref: upgrading outside boundary, bottoming eta 0.25",fuel cell 0.50,,0.0,,3170.825900152088,792.706475038022,980.476735162334,187.77026012431202,0.634100919035977,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading , no bottoming",fuel cell 0.50,,0.0,,0.0,0.0,2144.7436012929415,2144.7436012929415,-2.1850683599584477,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading, all plateau to power eta 0.20",fuel cell 0.50,,0.0,,3170.825900152088,634.1651800304176,2144.7436012929415,1510.578421262524,-1.2715050754008228,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading, all plateau to power eta 0.25",fuel cell 0.50,,0.0,,3170.825900152088,792.706475038022,2144.7436012929415,1352.0371262549197,-1.0431142542614171,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(ii) amine upgrading, reboiler 120 C (base), no bottoming",fuel cell 0.50,120 C (base),2561.387105487337,3362.8006693393227,0.0,0.0,1585.89550555025,1585.89550555025,-1.3800050767756984,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.20 on remaining heat",fuel cell 0.50,120 C (base),2561.387105487337,3362.8006693393227,801.4135638519856,160.28271277039713,1585.89550555025,1425.6127927798527,-1.1491056105998565,0.0
