config,scenario,gate_share,carbon_revenue,gate_revenue,water_revenue,H2_export_tpd,H2_revenue,credit_revenue,electricity_cost,dac_opex,grid_kW,yield_basis,credits,purchased_MUSD,FCI_MUSD,C_tpd,water_tpd,CO2_fixed_tpd,aux_kW,H2_fired_tpd,fixed_OM,catalyst_membrane_replacement,annual_cash_flow,NPV_MUSD,IRR,discounted_payback_y,simple_payback_y
X4-grid,Opportunity,0.0,8463066.479193946,0.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,279553.52672948467,0.0,882.4290616461005,kinetic,True,14.144787668977228,51.34557923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2053823.1695354937,569729.3834488614,15144719.963293692,97.34751380577019,0.29323392151117134,4.1149042363571695,3.390328732577016
X4-grid,Opportunity,0.5,8463066.479193946,3300000.0,13853.089948985591,5.77962140776098,9536375.322805617,0.0,279553.52672948467,0.0,882.4290616461005,kinetic,False,14.144787668977228,51.34557923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2053823.1695354937,569729.3834488614,18410188.81223471,129.40836831910687,0.3577636977570585,3.2882593891846756,2.788976243647486
X4-grid,Opportunity,0.5,8463066.479193946,3300000.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,279553.52672948467,0.0,882.4290616461005,kinetic,True,14.144787668977228,51.34557923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2053823.1695354937,569729.3834488614,18444719.96329369,129.74740025035283,0.35844262074915223,3.2811557838236536,2.78375488164465
X4-grid,Opportunity,1.0,8463066.479193946,6600000.0,13853.089948985591,5.77962140776098,9536375.322805617,0.0,279553.52672948467,0.0,882.4290616461005,kinetic,False,14.144787668977228,51.34557923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2053823.1695354937,569729.3834488614,21710188.81223471,161.80825476368955,0.4224572881264089,2.732875900037167,2.365045264343887
X4-grid,Opportunity,1.0,8463066.479193946,6600000.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,279553.52672948467,0.0,882.4290616461005,kinetic,True,14.144787668977228,51.34557923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2053823.1695354937,569729.3834488614,21744719.96329369,162.1472866949355,0.4231327068646795,2.7281447365030207,2.3612895141929426
X4-ORC,Conservative,0.0,3483703.758315725,0.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,118943.65939885481,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,999551.9129503748,-50.167601215642634,1.0000000000000002e-06,,60.008238152774425
X4-ORC,Conservative,0.5,3483703.758315725,1056000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,118943.65939885481,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,2055551.9129503756,-39.799637553376165,1.0000000000000002e-06,,29.18016755524062
X4-ORC,Conservative,1.0,3483703.758315725,2112000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,118943.65939885481,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,3111551.9129503756,-29.43167389110972,0.0035326005460842823,,19.276988112826626
X4-ORC,Base,0.0,6773868.418947243,0.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,89207.7445491411,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,4628080.443952121,-14.54217322613205,0.0454237177219812,,12.960308267063446
X4-ORC,Base,0.5,6773868.418947243,1980000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,89207.7445491411,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,6608080.443952119,4.897758640617535,0.09079646490735063,16.83472792076245,9.076970195374026
X4-ORC,Base,1.0,6773868.418947243,3960000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,89207.7445491411,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,8588080.443952119,24.337690507367142,0.13096384374252562,10.639275341835594,6.984255635451958
X4-ORC,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,59471.829699427406,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,12045570.502784314,58.28383756477215,0.19514087623037607,6.611245897211224,4.979535774127323
X4-ORC,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,59471.829699427406,0.0,187.72673516233397,equilibrium,True,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,13144181.171109166,69.07015904978195,0.21465378861018758,5.905515806576392,4.563338595045083
X4-ORC,Opportunity,0.5,13547736.837894486,3300000.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,59471.829699427406,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,15345570.50278431,90.68372400935478,0.2530287788650908,4.876572974414368,3.908707677404648
X4-ORC,Opportunity,0.5,13547736.837894486,3300000.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,59471.829699427406,0.0,187.72673516233397,equilibrium,True,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,16444181.171109162,101.47004549436456,0.2719224477216238,4.492880281616866,3.6475728778620353
X4-ORC,Opportunity,1.0,13547736.837894486,6600000.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,59471.829699427406,0.0,187.72673516233397,equilibrium,False,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,18645570.50278431,123.08361045393747,0.30944085902139395,3.8704751059051055,3.216922176204285
X4-ORC,Opportunity,1.0,13547736.837894486,6600000.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,59471.829699427406,0.0,187.72673516233397,equilibrium,True,16.523787668977228,59.98134923838734,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2399253.9695354938,569729.3834488614,19744181.171109162,133.86993193894722,0.32804172155649236,3.6269519512231625,3.0379253876658887
X4-ORC,Conservative,0.0,2176217.094649872,0.0,2770.617989797118,5.77962140776098,3814550.129122247,0.0,540105.045892765,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,2484449.442884796,-35.58865838178914,1.0000000000000002e-06,,24.142712748761166
X4-ORC,Conservative,0.5,2176217.094649872,1056000.0,2770.617989797118,5.77962140776098,3814550.129122247,0.0,540105.045892765,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,3540449.442884796,-25.220694719522683,0.016353512405454934,,16.94173302175836
X4-ORC,Conservative,1.0,2176217.094649872,2112000.0,2770.617989797118,5.77962140776098,3814550.129122247,0.0,540105.045892765,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,4596449.442884795,-14.852731057256237,0.04463216758311782,,13.049496134725723
