water_remove_frac,h2_to_cfr_frac,T_cfr_K,C_stage3_tpd,Recovered_water_tpd,Q3_kW,converged
0.885,0.35,725.0,0.0,9.656358719623917,-68.27036507476065,1
0.885,0.35,750.0,0.15321792834706843,9.656358719623917,-120.42838599511924,1
0.885,0.4,575.0,0.0,9.656358719623917,-0.3064490096961127,1
0.885,0.4,600.0,0.0,9.656358719623917,-0.8438428865171362,1
0.885,0.4,625.0,0.0,9.656358719623917,-2.1630453275991366,1
0.885,0.4,650.0,0.0,9.656358719623917,-5.219259876382969,1
0.885,0.4,675.0,0.0,9.656358719623917,-12.004774355812778,1
0.885,0.4,700.0,0.0,9.656358719623917,-26.851194564456232,1
0.885,0.4,725.0,0.0,9.656358719623917,-61.857085799389594,1
0.885,0.4,750.0,0.00015369073781644732,9.656358719623917,-130.93893363538672,1
0.9199999999999999,0.15,575.0,0.0,10.0382486124904,-0.155207136848591,1
0.9199999999999999,0.15,600.0,0.0,10.0382486124904,-0.4533528700849745,1
0.9199999999999999,0.15,625.0,0.0,10.0382486124904,-1.288619312719769,1
0.9199999999999999,0.15,650.0,0.0,10.0382486124904,-4.0547535496672875,1
0.9199999999999999,0.15,675.0,0.0035531099515613996,10.0382486124904,-9.148705184581898,1
0.9199999999999999,0.15,700.0,0.11145200518536455,10.0382486124904,-10.62522693098492,1
0.9199999999999999,0.15,725.0,0.4239868817953972,10.0382486124904,-4.910447283663573,1
0.9199999999999999,0.15,750.0,1.1718769129681803,10.0382486124904,18.131927092390416,1
0.9199999999999999,0.2,575.0,0.0,10.0382486124904,-0.18815112637413872,1
0.9199999999999999,0.2,600.0,0.0,10.0382486124904,-0.5354329912033787,1
0.9199999999999999,0.2,625.0,0.0,10.0382486124904,-1.441055595785777,1
0.9199999999999999,0.2,650.0,0.0,10.0382486124904,-3.8042308374927662,1
0.9199999999999999,0.2,675.0,0.0,10.0382486124904,-11.217580943906926,1
0.9199999999999999,0.2,700.0,0.01305627223483058,10.0382486124904,-23.526290931485143,1
0.9199999999999999,0.2,725.0,0.27907061152427415,10.0382486124904,-25.960267172799995,1
0.9199999999999999,0.2,750.0,0.9704025190338215,10.0382486124904,-14.333802098171445,1
0.9199999999999999,0.25,575.0,0.0,10.0382486124904,-0.21979214368043123,1
0.9199999999999999,0.25,600.0,0.0,10.0382486124904,-0.6172960875588877,1
0.9199999999999999,0.25,625.0,0.0,10.0382486124904,-1.6253091964294293,1
0.9199999999999999,0.25,650.0,0.0,10.0382486124904,-4.094052304661009,1
0.9199999999999999,0.25,675.0,0.0,10.0382486124904,-10.296260392294636,1
0.9199999999999999,0.25,700.0,1.1251497568848026e-05,10.0382486124904,-20.93297990517263,1
0.9199999999999999,0.25,725.0,0.10305732249133126,10.0382486124904,-48.72434700063917,1
0.9199999999999999,0.25,750.0,0.7275616985606398,10.0382486124904,-48.68851931529292,1
0.9199999999999999,0.30000000000000004,575.0,0.0,10.0382486124904,-0.2503056986473225,1
0.9199999999999999,0.30000000000000004,600.0,0.0,10.0382486124904,-0.6970282445102267,1
0.9199999999999999,0.30000000000000004,625.0,8.79008779826329e-22,10.0382486124904,-1.8126665301195781,1
0.9199999999999999,0.30000000000000004,650.0,0.0,10.0382486124904,-4.468250682775003,1
0.9199999999999999,0.30000000000000004,675.0,0.0,10.0382486124904,-10.684609097711775,1
0.9199999999999999,0.30000000000000004,700.0,0.0,10.0382486124904,-26.398768296200434,1
0.9199999999999999,0.30000000000000004,725.0,0.0001415072497087824,10.0382486124904,-57.04352845412537,1
0.9199999999999999,0.30000000000000004,750.0,0.4516859958862745,10.0382486124904,-84.58421809827205,1
0.9199999999999999,0.35,575.0,0.0,10.0382486124904,-0.27990568128550497,1
0.9199999999999999,0.35,600.0,0.0,10.0382486124904,-0.774547640353662,1
0.9199999999999999,0.35,625.0,0.0,10.0382486124904,-1.9975501409594216,1
0.9199999999999999,0.35,650.0,0.0,10.0382486124904,-4.861440186137093,1
0.9199999999999999,0.35,675.0,0.0,10.0382486124904,-11.34424360690894,1
0.9199999999999999,0.35,700.0,0.0,10.0382486124904,-26.19653799074632,1
0.9199999999999999,0.35,725.0,0.0,10.0382486124904,-68.52382693652117,1
0.9199999999999999,0.35,750.0,0.14890029209170966,10.0382486124904,-121.74445666145078,1
0.9199999999999999,0.4,575.0,0.0,10.0382486124904,-0.3087340509004946,1
0.9199999999999999,0.4,600.0,0.0,10.0382486124904,-0.8500080013314,1
0.9199999999999999,0.4,625.0,0.0,10.0382486124904,-2.1785554726805514,1
0.9199999999999999,0.4,650.0,0.0,10.0382486124904,-5.25600348182219,1
0.9199999999999999,0.4,675.0,0.0,10.0382486124904,-12.087516694605085,1
0.9199999999999999,0.4,700.0,0.0,10.0382486124904,-27.02969510710469,1
0.9199999999999999,0.4,725.0,2.812828095444253e-20,10.0382486124904,-62.21588265086845,1
0.9199999999999999,0.4,750.0,0.00018258398071929275,10.0382486124904,-131.5874143040113,1
0.955,0.15,575.0,0.0,10.420138505356881,-0.15641825933209172,1
0.955,0.15,600.0,0.0,10.420138505356881,-0.4568142618878683,1
0.955,0.15,625.0,0.0,10.420138505356881,-1.2977770482095081,1
0.955,0.15,650.0,0.0,10.420138505356881,-4.071822434170334,1
0.955,0.15,675.0,0.0030571412378833855,10.420138505356881,-9.262745131287046,1
0.955,0.15,700.0,0.11080442000140095,10.420138505356881,-10.834575136232731,1
0.955,0.15,725.0,0.4233184172761698,10.420138505356881,-5.291899727993012,1
0.955,0.15,750.0,1.1716199144193988,10.420138505356881,17.418831248177774,1
0.955,0.2,575.0,0.0,10.420138505356881,-0.18959192232343886,1
0.955,0.2,600.0,0.0,10.420138505356881,-0.5394774394052999,1
0.955,0.2,625.0,0.0,10.420138505356881,-1.451667448240916,1
0.955,0.2,650.0,0.0,10.420138505356881,-3.830165142349314,1
0.955,0.2,675.0,0.0,10.420138505356881,-11.260783591741632,1
0.955,0.2,700.0,0.011830129613371975,10.420138505356881,-23.81224700805452,1
0.955,0.2,725.0,0.2776032916928886,10.420138505356881,-26.4596575336806,1
0.955,0.2,750.0,0.969178221454071,10.420138505356881,-15.21080324946121,1
0.955,0.25,575.0,0.0,10.420138505356881,-0.22145823431933367,1
0.955,0.25,600.0,0.0,10.420138505356881,-0.6219105758935434,1
0.955,0.25,625.0,0.0,10.420138505356881,-1.637248794882739,1
0.955,0.25,650.0,0.0,10.420138505356881,-4.123165208413513,1
0.955,0.25,675.0,0.0,10.420138505356881,-10.362182622823362,1
0.955,0.25,700.0,1.0670236755013724e-05,10.420138505356881,-20.966846028160873,1
0.955,0.25,725.0,0.10072814468088326,10.420138505356881,-49.34026353067858,1
0.955,0.25,750.0,0.7252998408868545,10.420138505356881,-49.72357943640214,1
0.955,0.30000000000000004,575.0,0.0,10.420138505356881,-0.25219486340805336,1
0.955,0.30000000000000004,600.0,0.0,10.420138505356881,-0.7022054206339517,1
0.955,0.30000000000000004,625.0,8.79008779826329e-22,10.420138505356881,-1.825909665468357,1
0.955,0.30000000000000004,650.0,0.0,10.420138505356881,-4.500191996476562,1
0.955,0.30000000000000004,675.0,0.0,10.420138505356881,-10.757663923623474,1
0.955,0.30000000000000004,700.0,0.0,10.420138505356881,-26.54932029226974,1
0.955,0.30000000000000004,725.0,2.238184103925701e-05,10.420138505356881,-57.56860313658573,1
0.955,0.30000000000000004,750.0,0.4483721994777259,10.420138505356881,-85.77012534568115,1
0.955,0.35,575.0,0.0,10.420138505356881,-0.28201475805105986,1
0.955,0.35,600.0,0.0,10.420138505356881,-0.780277517435639,1
0.955,0.35,625.0,0.0,10.420138505356881,-2.0120716370904,1
0.955,0.35,650.0,0.0,10.420138505356881,-4.896118698366659,1
0.955,0.35,675.0,0.0,10.420138505356881,-11.42297841637682,1
